"PLAYER","TEAM","POINTS","REBOUNDS","ASSISTS","TOTAL_IMPACT"
"Nikola Jokić","DEN",29.6,12.7,10.2,52.5
"Giannis Antetokounmpo","MIL",30.4,11.9,6.5,48.8
"Shai Gilgeous-Alexander","OKC",32.7,5,6.4,44.1
"Luka Dončić","LAL",28.2,8.1,7.5,43.8
"Jayson Tatum","BOS",26.8,8.7,6,41.5
